0,1,2,3,4,5
244,173,231,909,987,882
16,85,317,446,718,828
590,55,509,727,811,884
420,505,587,887,723,959
90,149,512,698,185,759
214,303,365,600,735,758
665,355,421,669,785,977
53,405,396,571,722,926
253,188,73,500,853,403
342,240,360,616,623,694
7,319,384,520,443,864
279,292,432,868,925,941
97,313,783,107,960,966
50,226,261,307,425,655
36,141,221,534,853,950
198,232,287,548,824,301
770,228,483,845,867,944
1,30,518,474,479,603
84,161,223,121,424,479
125,248,303,659,432,533
214,48,23,316,850,953
386,465,604,533,663,814
216,90,575,658,738,803
268,319,511,551,378,587
220,907,497,198,575,664
78,118,244,136,315,835
64,644,803,813,806,855
117,739,674,972,301,974
19,279,56,284,861,724
84,226,275,753,611,912
15,597,33,617,228,717
7,656,784,866,924,916
197,276,417,736,798,453
12,147,260,460,691,788
82,117,239,639,863,987
113,684,789,771,391,932
259,72,180,198,455,949
47,297,320,391,768,817
17,91,195,538,905,657
178,348,240,559,561,756
1,237,310,269,311,361
612,14,149,295,514,841
88,93,263,331,790,828
58,104,265,729,937,984
114,129,389,692,829,842
48,189,258,241,471,660
166,168,218,544,715,982
93,565,422,776,823,876
57,120,376,381,676,783
171,586,56,580,920,744
103,175,733,351,674,980
418,184,551,679,735,737
92,349,7,473,866,806
219,345,834,836,896,989
156,257,573,607,701,779
432,521,540,577,683,585
468,530,567,579,716,829
423,140,259,632,746,786
94,174,307,832,850,348
456,484,558,647,793,832
146,96,158,286,527,750
190,550,862,980,577,869
605,304,571,625,745,933
238,592,613,778,852,963
109,280,948,449,455,960
337,72,101,88,349,840
121,694,705,763,839,986
26,54,425,646,782,543
710,4,608,852,855,993
23,52,54,258,764,953
772,791,794,12,903,855
65,74,490,772,933,993
40,223,540,768,411,668
744,197,145,530,427,650
55,237,840,643,1000,810
206,639,648,744,762,877
190,426,479,300,611,637
254,59,394,581,660,697
73,115,312,459,674,865
449,643,232,499,506,930
42,47,335,529,545,640
288,87,694,573,761,937
54,32,638,797,896,936
137,437,322,572,765,954
52,128,605,225,894,872
5,153,101,291,564,709
343,100,531,661,693,701
536,28,35,818,824,83
107,156,179,201,539,825
691,118,412,528,703,633
17,272,318,981,811,771
376,521,616,633,525,760
16,315,20,466,469,916
622,134,280,794,887,822
22,451,462,509,820,780
76,402,693,743,787,849
163,264,434,507,938,530
521,629,925,954,983,992
255,279,645,647,958,911
124,151,87,514,502,441
65,281,613,967,377,985
95,330,327,373,434,755
254,411,389,701,495,844
31,442,876,904,907,946
376,231,560,719,983,996
8,110,776,451,657,756
163,776,644,763,691,910
7,46,175,55,686,577
200,508,696,647,923,919
374,400,649,927,505,686
27,530,357,572,827,933
651,424,85,618,727,986
179,220,779,287,515,642
125,132,192,392,711,775
155,249,315,510,515,917
111,292,594,767,465,940
145,171,258,296,764,384
19,25,188,638,708,971
8,148,623,649,761,906
31,328,539,706,620,692
13,62,566,781,893,916
248,243,294,425,990,745
57,154,388,493,906,960
178,95,335,357,824,876
331,367,380,527,402,731
365,37,367,487,522,905
118,534,568,846,574,987
618,236,573,214,685,891
5,517,592,793,840,913
104,18,433,247,462,758
275,282,414,745,795,969
14,349,484,727,980,768
2,355,353,911,728,951
25,36,172,87,623,856
96,566,137,648,837,748
201,280,381,461,718,911
113,29,253,347,524,356
155,200,353,368,978,717
214,318,358,498,863,363
221,225,252,511,659,893
205,787,575,792,901,963
171,108,389,288,646,713
345,384,569,866,957,1000
235,281,418,551,608,804
197,303,804,468,502,903
36,457,162,835,271,826
616,156,662,977,773,760
67,70,133,388,267,293
48,235,326,902,820,907
309,419,699,813,909,926
390,139,262,785,816,787
301,88,482,346,501,904
131,167,293,393,408,767
104,373,128,848,657,941
183,552,629,843,872,956
294,601,423,821,875,913
52,124,463,741,731,470
197,408,406,445,568,565
59,441,549,227,611,490
101,210,273,468,894,949
231,310,796,935,901,862
160,240,526,820,931,962
84,86,223,817,832,968
3,578,505,466,754,796
218,300,405,563,686,722
268,194,396,564,587,624
155,206,217,356,482,880
172,262,806,796,513,909
45,66,157,384,635,708
208,137,266,518,460,902
39,204,856,280,320,509
438,515,590,734,642,959
110,139,218,147,655,224
360,683,364,744,736,929
16,79,308,322,361,606
9,512,43,282,802,870
377,401,571,648,820,880
217,243,297,471,922,970
254,800,742,995,942,999
29,100,334,465,761,817
381,621,658,845,650,878
635,699,275,745,871,889
216,464,790,584,734,815
108,364,845,301,619,988
97,425,495,623,724,884
170,95,260,265,542,573
271,273,762,875,955,431
11,176,292,472,548,990
247,481,642,645,853,974
585,328,625,670,783,907
125,189,203,318,323,403
6,19,257,23,291,584
358,144,395,695,888,902
24,702,750,684,690,886
81,102,262,288,969,797
446,146,284,164,476,676
138,204,466,580,622,974
17,40,272,511,925,992
35,317,131,278,668,453
349,626,453,552,728,820
385,651,801,964,975,983
317,428,459,680,973,736
552,605,723,732,743,992
411,86,554,569,576,639
30,764,458,435,668,856
13,305,28,374,880,757
439,68,312,276,455,760
194,583,692,746,891,956
290,429,362,436,631,812
178,246,374,184,716,399
177,269,696,877,973,994
460,59,159,754,641,971
253,325,551,627,979,612
380,381,929,408,414,877
196,262,383,313,808,834
28,42,77,634,922,949
395,469,659,523,670,957
6,61,352,477,500,985
242,621,370,406,687,698
57,151,334,537,741,948
228,271,434,750,338,587
18,123,331,741,246,900
240,452,927,866,969,982
4,614,689,751,979,884
94,197,199,512,718,729
789,451,767,784,836,871
230,188,367,398,430,748
721,79,736,880,981,1000
44,106,737,347,864,426
117,424,127,486,525,914
23,441,276,604,905,903
259,750,145,801,944,997
215,351,448,902,959,960
148,288,348,370,608,628
83,416,533,833,740,620
65,105,258,478,279,570
492,344,851,888,361,951
222,82,418,579,901,654
883,63,408,932,947,1000
329,362,842,692,948,969
82,186,346,580,405,821
455,499,524,154,729,544
293,74,318,584,780,683
103,42,508,272,377,461
37,191,874,170,63,676
135,193,296,379,600,477
80,250,319,936,857,362
47,65,260,243,497,529
494,386,708,865,929,882
20,270,286,448,586,633
33,139,223,544,226,871
354,474,554,697,646,706
245,125,370,327,917,343
41,209,190,356,524,998
109,770,240,401,332,412
49,299,830,294,489,831
5,415,176,679,688,704
91,21,418,524,609,618
317,511,539,628,942,959
194,245,286,476,542,924
103,131,597,730,986,688
123,372,433,971,899,906
60,281,234,458,648,773
226,215,260,669,731,494
387,206,612,771,779,946
44,112,146,661,876,931
773,369,329,419,545,996
57,96,291,368,896,932
419,273,494,540,895,765
538,11,555,607,762,965
112,258,402,524,572,924
54,184,143,232,242,710
192,201,588,537,540,891
478,854,569,880,731,925
90,92,309,343,554,907
83,231,237,637,847,869
224,271,350,366,395,805
3,114,326,528,554,640
54,578,313,871,855,880
103,133,274,306,474,532
595,771,405,563,833,882
392,293,470,677,868,894
174,233,396,596,627,637
294,325,499,526,530,666
15,112,331,501,645,987
695,153,884,811,876,913
48,394,428,429,550,564
24,176,273,264,926,688
4,339,175,677,718,747
110,124,255,275,402,626
156,369,492,994,577,594
222,340,533,641,674,987
204,364,825,433,516,522
58,324,945,3,826,954
70,278,897,601,915,928
101,362,270,323,754,827
382,393,516,719,845,985
332,536,644,829,842,952
355,414,485,643,892,968
287,221,419,454,526,830
554,561,256,654,889,899
62,193,266,681,785,985
260,351,501,657,680,858
181,375,328,747,436,482
310,248,488,491,900,952
340,446,955,965,454,957
214,459,487,619,951,993
25,58,464,707,782,941
152,173,634,472,574,707
187,285,421,723,281,694
1,2,364,572,643,766
