n,k,rep,algo,time,distance,ranking
100,6,0,random_circle_removal,0.0012319087982177734,-0.04363636363636364,"[5, 14, 26, 23, 27, 6, 29, 79, 51, 15, 55, 54, 40, 60, 70, 61, 72, 76, 63, 91, 95, 87, 44, 75, 57, 42, 22, 12, 21, 47, 62, 30, 50, 86, 74, 100, 38, 45, 10, 49, 77, 11, 19, 31, 69, 89, 53, 88, 90, 97, 85, 96, 32, 39, 59, 71, 78, 80, 81, 64, 68, 52, 67, 35, 83, 93, 94, 41, 46, 28, 4, 37, 13, 34, 16, 65, 99, 66, 24, 73, 48, 84, 82, 98, 58, 43, 3, 20, 2, 9, 33, 56, 17, 36, 7, 8, 25, 18, 1, 92]"
100,6,0,page_rank,0.014892101287841797,0.6921212121212122,"[  7  36  20   1   2  11   5   3  18  33  17   8   6  48  43  23  19  14
  26   9  39  16  13  22   4  10  30  25  15  37  27  12  38  59  21  77
  24  29  82  28  44  42  32  62  46  56  35  34  31  41  40  64  87  47
  65  45  76  69  54  50  86  58  53  60  73  57  68  63  67  52  66  71
  49  55  51  89  94  75  70  72  61  84  79  97  96  74 100  91  98  81
  80  95  78  88  99  90  85  83  93  92]"
100,6,0,em,0.073638916015625,0.7434343434343436,"[  8   7   2   6   1   5  22   3  13  20  23  33  21  16   9  26  30  27
  12  14   4  18  11  17  19  25  36  29  39  37  15  43  62  34  38  46
  10  48  50  28  47  35  41  59  24  40  31  65  60  69  32  64  54  77
  42  52  45  73  68  44  56  63  67  49  71  82  76  55  53  58  57  66
  86  51  87  61  70  75  81  89  91 100  79  72  98  84  96  74  94  97
  95  80  78  88  99  90  85  83  93  92]"
100,6,0,borda_ordering,0.0007829666137695312,0.7979797979797981,"[  1   7   8   2   3   5   6  11  15  23  12  13  14  27  20  19  22   4
  16  33   9  18  28  26  17  46  25  21  39  30  10  34  29  36  43  41
  38  42  54  35  65  37  44  48  50  40  47  32  45  52  31  24  60  59
  68  63  62  69  56  53  71  57  77  58  66  70  73  67  55  51  49  87
  86  75  64  89  74  76  72  91  79  61  82  88  84  80  78 100  97  81
  94  95  96  90  98  85  83  99  93  92]"
100,8,0,random_circle_removal,0.002744913101196289,0.014545454545454547,"[5, 11, 6, 12, 80, 87, 24, 46, 27, 21, 31, 30, 59, 54, 92, 70, 91, 61, 77, 94, 98, 79, 58, 60, 88, 84, 28, 15, 45, 50, 89, 25, 43, 22, 57, 53, 47, 10, 13, 20, 29, 38, 36, 44, 19, 37, 55, 56, 71, 83, 90, 85, 74, 73, 76, 96, 95, 100, 26, 2, 40, 42, 52, 75, 35, 41, 51, 14, 16, 66, 68, 82, 62, 7, 8, 18, 23, 34, 33, 65, 49, 17, 93, 97, 63, 69, 3, 48, 67, 72, 78, 86, 32, 39, 81, 99, 64, 9, 4, 1]"
100,8,0,page_rank,0.01573801040649414,0.7543434343434345,"[  4   1   2   5   7  16  11   6   3  47   9  30  21  13  22   8  20  14
  61  10  26  18  12  62  17  48  23  15  66  29  43  25  19  31  27  24
  64  28  38  36  53  33  34  69  42  35  32  44  37  46  40  51  39  58
  59  56  49  41  84  57  45  70  50  52  55  75  85  63  54  89  60  74
  72  73  65  82  78  79 100  71  77  86  76  80  67  83  88  92  68  90
  81  91  87  99  94  97  96  98  95  93]"
100,8,0,em,0.03898906707763672,0.8266666666666669,"[  1  11   6   7   5   4  20  10  16   2  15   9  30   3  14  27  13  34
  29  18  21  22  28  12  23  19  24   8  31  38  43  17  47  25  33  36
  35  32  48  53  26  51  41  46  37  39  49  45  44  42  61  40  66  62
  64  59  50  57  55  69  56  75  63  52  58  70  73  54  84  60  71  76
  72  65  74  85  89  86  67  77  82  79  68  78  88  80  83  81  91  90
  92  87  94 100  97  98  96  99  95  93]"
100,8,0,borda_ordering,0.0010561943054199219,0.8395959595959597,"[  1  11   6  15   7  10   5   2   3  20   9   4  18  13  14  16   8  23
  22  29  24  28  34  19  38  27  21  31  25  17  30  33  26  12  32  35
  43  36  62  40  41  42  47  48  53  45  49  51  39  46  44  57  64  66
  37  61  70  59  50  52  55  58  56  63  65  75  69  60  85  54  84  71
  79  76  73  67  83  82  74  72  86  90  77  78  81  68  89  88  91  87
  97  94  80  92 100  96  99  95  98  93]"
100,6,1,random_circle_removal,0.001990795135498047,-0.09292929292929294,"[6, 2, 10, 38, 7, 23, 21, 22, 35, 77, 84, 82, 41, 79, 88, 45, 63, 83, 94, 44, 66, 20, 92, 57, 28, 60, 76, 53, 61, 47, 54, 58, 29, 71, 81, 75, 80, 90, 30, 51, 85, 55, 67, 64, 68, 78, 93, 91, 87, 69, 42, 70, 86, 96, 100, 39, 4, 25, 33, 31, 43, 49, 56, 97, 95, 98, 59, 72, 9, 14, 15, 18, 36, 65, 8, 26, 19, 40, 52, 13, 24, 37, 74, 17, 12, 50, 89, 46, 3, 5, 27, 34, 32, 48, 73, 62, 11, 16, 1, 99]"
100,6,1,page_rank,0.01904606819152832,0.7167676767676769,"[  2   3  13   8   7  16  10   4  17   5  15  21   6  46  62   1  26  28
  11  37  35  14  52  18  27  12  39  20  32  23  73  25  31  22  38  24
  30  50   9  29  19  65  34  45  42  47  49  44  33  43  40  53  36  51
  48  74  61  89  71  41  54  92  55  94  72  56  57  63  84 100  75  59
  66  69  68  67  60  79  58  90  64  76  80  81  87  88  77  78  83  91
  70  96  85  86  82  98  93  97  95  99]"
