n,k,rep,algo,time,distance,ranking
100,6,0,random_circle_removal,0.0023009777069091797,-0.11515151515151517,"[8, 29, 25, 63, 82, 14, 53, 27, 15, 22, 36, 30, 67, 68, 45, 60, 69, 31, 47, 59, 73, 88, 83, 76, 78, 71, 79, 77, 85, 54, 87, 70, 80, 21, 42, 72, 91, 92, 84, 86, 96, 75, 10, 66, 93, 90, 6, 26, 50, 62, 38, 46, 61, 55, 39, 4, 28, 34, 35, 44, 49, 58, 32, 51, 52, 64, 57, 3, 81, 89, 95, 97, 98, 99, 9, 18, 19, 24, 20, 40, 48, 56, 41, 33, 65, 74, 37, 100, 16, 7, 2, 12, 13, 43, 5, 11, 17, 23, 1, 94]"
100,6,0,page_rank,0.015185117721557617,0.6416161616161618,"[  1   7   2  11  13  23  31  12   5  18  16  28   9   8   3  10  14  17
  43  29  20  63   6  37  22  33  19  25   4  82  41  21  50  15  36  24
  99 100  35  26  30  53  77  57  38  55  39  27  34  45  46  72  75  62
  58  74  32  56  48  61  84  44  40  78  90  71  65  51  42  68  49  52
  81  69  70  67  54  59  47  96  66  87  64  79  60  80  89  76  83  91
  86  98  85  92  73  88  93  97  95  94]"
100,6,0,em,0.054440975189208984,0.7135353535353536,"[  2   5  13  17   1   8  28  43  15   7  18  29  11  22  26  21  19   9
  23  14   4   3  16  12  33  63  41  31  10  20   6  25  34  35  36  50
  39  30  32  37  55  38  27  24  58  53  40  48  45  46  82  62  57  56
  72  51  49  65  44  71 100  42  61  52  77  74  59  68  84  78  99  64
  70  81  67  69  54  87  66  47  90  75  80  96  79  86  85  60  91  92
  83  89  76  98  88  73  93  97  95  94]"
100,6,0,borda_ordering,0.00096893310546875,0.7692929292929294,"[  1   2   5   8   9  17   3   7  12  26  10  20  13  28  18  11  15  41
  16  21  31  25  19  14  23  29   6  37  22  43   4  30  39  32  34  63
  55  33  27  38  45  35  40  82  24  48  44  46  36  50  51  56  61  53
  68  58  62  52  57  59  81  42  78  72  65  67  49  70  87  74  90  75
  69  54  47  71  77  66 100  76  89  83  60  96  80  84  73  64  86  88
  79  99  91  92  93  85  97  98  95  94]"
100,8,0,random_circle_removal,0.0015630722045898438,-0.2266666666666667,"[4, 100, 11, 40, 6, 56, 59, 72, 31, 28, 74, 46, 53, 61, 77, 85, 88, 47, 29, 57, 84, 93, 98, 87, 91, 60, 92, 95, 80, 89, 63, 75, 62, 73, 79, 86, 94, 83, 97, 71, 81, 70, 43, 41, 52, 58, 15, 20, 25, 39, 42, 67, 78, 55, 18, 23, 27, 12, 14, 36, 51, 68, 30, 13, 9, 19, 22, 38, 24, 3, 8, 34, 49, 50, 7, 48, 66, 69, 64, 65, 82, 96, 90, 76, 10, 2, 35, 32, 37, 45, 54, 26, 5, 16, 17, 21, 33, 44, 1, 99]"
100,8,0,page_rank,0.015341997146606445,0.8016161616161618,"[ 10   2   1   4   3   6  20   5   7   9  44  26  11   8  19  23  27  13
  21  12  14  52  15  24  25  18  16  17  33  30  28  76  35  22  38  32
  50  31  37  48  47  49  39  56  29  58  36  34  63  41  65  51  45  40
  55  61  62  54  42  43  46  66  59  68  53  57  64  70  72  71  73  96
  60  78  87  85  69  67  90  86  79  74  77  80  75  89  88  82  92  93
  81  83  97  84  91  95  94 100  98  99]"
100,8,0,em,0.04704999923706055,0.8440404040404041,"[  4   2   8   5  10  11   3   6   1  17  20   9  19   7  13  21  14  25
  26  12  33  15  36  31  24  18  38  27  22  30  32  16  23  37  28  47
  45  52  35  49  40  34  44  48  39  51  41  29  50  58  56  42  54  65
  43  59  46  61  68  55  62  70  64  63  66  72  53  57  69  76  78  60
  67  71  73  85  96  77  90  87  79  86  75  88  81  89  74  80  92  82
  93  97  94  83  91  95  84  98 100  99]"
100,8,0,borda_ordering,0.0009222030639648438,0.8775757575757577,"[  4   1   2   5   6   8   3  11  10   7  13  15  17   9  14  18  20  21
  12  23  22  25  26  24  16  27  19  33  30  45  36  35  37  31  29  32
  47  40  34  48  51  39  38  52  41  49  44  56  28  58  65  50  46  62
  43  59  54  68  61  64  42  55  66  53  57  72  73  60  69  70  67  63
  78  76  71  85  79  74  90  80  77  82  86  75  87  88  89  96  92  81
  84  91  83  95  97  94  93  98 100  99]"
100,12,0,random_circle_removal,0.0024139881134033203,-0.19636363636363638,"[1, 8, 13, 15, 26, 20, 22, 29, 84, 90, 94, 24, 31, 56, 85, 87, 57, 91, 92, 93, 86, 80, 88, 95, 54, 78, 58, 61, 50, 63, 52, 44, 55, 30, 51, 62, 49, 53, 79, 89, 21, 28, 19, 23, 46, 43, 47, 60, 99, 100, 82, 98, 77, 83, 96, 97, 75, 81, 72, 73, 74, 68, 67, 71, 76, 70, 45, 16, 18, 9, 39, 42, 48, 38, 10, 11, 25, 7, 14, 4, 17, 5, 3, 6, 12, 64, 69, 66, 59, 36, 37, 40, 65, 32, 33, 35, 41, 34, 27, 2]"
100,12,0,page_rank,0.019984960556030273,0.9002020202020203,"[  1   3   4   6   7   5   2  17  13  11  10   8  12  14  25   9  15  18
  16  27  22  34  23  21  20  31  19  24  28  26  35  36  30  29  38  32
  33  40  45  46  48  37  47  41  39  43  42  49  60  52  44  56  50  54
  55  53  58  82  51  61  65  59  57  63  66  62  64  72  76  73  68  67
  70  69  74  71  79  75  89  78  77  81  84  87  80  95  90  86  83  85
  92  96  94  97  88  91  93 100  98  99]"
